OID,StopUID,StopID,StopName,StopNameEn,StopAddres,StationID,StopDescri,Updatetime,ProvCode,Lon,Lat,UniqueID
-1,KHH10000645931,10000645931,建楠路,Jiannan Rd., ,76, ,2024/10/30,KHH,22.72696,120.328693,B1E0010069V090
-1,KHH10000647861,10000647861,後昌路(左楠路口),Houchang Rd.(Zuonan Rd. Intersection), ,3056, ,2024/10/30,KHH,22.707983,120.301231,B1E0010069V090
-1,KHH100007112982,1.00007E+11,保舍甲路,Baoshejia Rd., ,4691, ,2024/10/30,KHH,22.74452,120.34866,B1E0010069V090
-1,KHH100007112931,1.00007E+11,大社中正路(保社里),Dashe Jhongjheng Rd.(Baoshe Village), ,1331, ,2024/10/30,KHH,22.746565,120.350881,B1E0010069V090
-1,KHH100007112972,1.00007E+11,大社中正路(保社里),Dashe Jhongjheng Rd.(Baoshe Village), ,1330, ,2024/10/30,KHH,22.746514,120.350783,B1E0010069V090
-1,KHH10000745801,10000745801,後勁國小(捷運後勁站),Houjing Elementary School(MRT Houjin Station), ,3473, ,2024/10/30,KHH,22.721089,120.313771,B1E0010069V090
-1,KHH10000746601,10000746601,楠梓火車站,Nanzi Railway Station, ,2135, ,2024/10/30,KHH,22.727545,120.325656,B1E0010069V090
-1,KHH10000747542,10000747542,清豐里,Cingfong Village, ,3776, ,2024/10/30,KHH,22.738647,120.335447,B1E0010069V090
-1,KHH10001123972,10001123972,大成街口(輕軌真愛碼頭站),Dacheng St. Intersection(LRT Love Pier Station）, ,3908, ,2024/10/30,KHH,22.621093,120.288469,B1E0010069V090
-1,KHH100011501,100011501,五權國小(三多二路),Wucyuan Elementry School(Sanduo 2nd Rd.), ,3661, ,2024/10/30,KHH,22.620276,120.323801,B1E0010069V090
-1,KHH1000119331,1000119331,大成街口(輕軌真愛碼頭站),Dacheng St. Intersection(LRT Love Pier Station）, ,3907, ,2024/10/30,KHH,22.621192,120.288549,B1E0010069V090
-1,KHH10001139952,10001139952,國際商場,International Market, ,2551, ,2024/10/30,KHH,22.625272,120.281551,B1E0010069V090
-1,KHH10001210631,10001210631,康定路,Kangding Rd., ,2380, ,2024/10/30,KHH,22.58418,120.320664,B1E0010069V090
-1,KHH10001211532,10001211532,港後路口,Ganghou Rd. Intersection, ,1778, ,2024/10/30,KHH,22.567051,120.332042,B1E0010069V090
